,User,Date Created,Number of Likes,Number of Retweet,Source of Tweet,Tweet
0,Nandram,2022-09-26 09:00:01+00:00,0,70,Twitter for Android,"RT @Real_Jat_: #GodMorningMonday
Do you know that Supreme God has arrived in India. @SaintRampalJiM https://t.co/ilT7AdE47C"
1,Sã Mîm,2022-09-26 09:00:01+00:00,0,362,Twitter Web App,RT @myntra: Eyeing Indian brands? Let's see if you can list out all the made in India brands available on Myntra. A Myntra Gift Voucher of…
2,Dr Nemi Chandra Rathore,2022-09-26 09:00:01+00:00,0,1824,Twitter Web App,"RT @HappymonJacob: Next time China calls Arunachal Pradesh Southern Tibet, India should respond by calling Tibet ‘Northwestern Arunachal Pr…"
3,Randomised Weather,2022-09-26 09:00:01+00:00,0,0,RandomisedWeather,"At 14:30 Monday, 26 September 2022 (GMT +05:30) in Sri Madhopur, India it was 33.0°C and sunny. 
Wind direction: NW… https://t.co/9G4casnKT1"
4,Bishwajit Mandal,2022-09-26 09:00:01+00:00,0,117,Twitter for Android,"RT @anujdhar: After India became free, there was no inquiry into the Nilganj massacre. A jute research institute was opened at the very sit…"
5,Officers IAS Academy,2022-09-26 09:00:01+00:00,0,0,Twitter Web App,"IAS Story: पापा से कहा अफसर बनकर दिखाऊंगी और 22 साल की उम्र में बन गईं आईएएस, पढ़िए पूरी कहानी

https://t.co/GDxyjHqhok"
6,सतेन्द्र सिंह (सतेन्द्र कुमार प्रजापति),2022-09-26 09:00:01+00:00,0,7,Twitter for Android,"RT @narendramodi_in: PM @narendramodi urges people to reduce plastic pollution, promotes use of non-plastic bags #MannKiBaat
https://t.co/T…"
7,Sunny Shinde,2022-09-26 09:00:01+00:00,0,0,Twitter for Android,"@BCCI I don't understand why is India scheduled to play 3 ODI's before the T20 World Cup. Instead, they could have… https://t.co/eH3bHkQehi"
8,Ericsson India,2022-09-26 09:00:01+00:00,0,0,Twitter for Advertisers,"Upcoming !

Join us at the India Mobile Congress as we bring 5G to life through ground-breaking India 🇮🇳 focused… https://t.co/eHggHjel2N"
9,SS,2022-09-26 09:00:00+00:00,0,236,Twitter for Android,"RT @UniqueForLife_: Brits talking about the spirit of Cricket.😂

#mankading #Mankad #DeeptiSharma #Deepti #Runout #ENGvsIND #ENGWvsINDW #EN…"
10,Cuatro,2022-09-26 09:00:00+00:00,0,0,Besocy_Oficial,Un niño de 12 años denuncia ser víctima de una brutal violación por parte de cuatro amigos https://t.co/Og3kA0bxKr
11,Nitya Singh,2022-09-26 09:00:00+00:00,0,571,Twitter Web App,RT @BesuraTaansane: This is not even funny anymore - this scoundrel is convicted on multiple counts of serious fraud &amp; he wants to save Ind…
12,ORF,2022-09-26 09:00:00+00:00,0,0,TweetDeck,#India could aim to achieve 50% #mobile use for financial transactions among #women by 2030. This would catalyse wo… https://t.co/CO93ywite9
13,jpc,2022-09-26 09:00:00+00:00,0,13,Twitter for Android,"RT @imtechnonitin: खामोशियों से कहाँ
चलती है जिन्दगी,
आवाज उठानी पड़ती है,
हक पाने के लिए।
@Vijaykbandhu  @imtechnonitin @bprawatNOPRUF @NO…"
14,With Ajay Singh,2022-09-26 09:00:00+00:00,0,9394,Twitter for Android,"RT @RahulGandhi: The idea behind #BharatJodoYatra is crystal clear - an India that is hateful and divided, where youth don’t have jobs and…"
15,Shaikh Noorul Hasan,2022-09-26 09:00:00+00:00,0,234,Twitter for Android,"RT @AzizurTweets: The #PFI leaders have been charged under the #UAPA because they ""conspired to turn India into an Islamic nation"".

Some #…"
16,⚠💙💯 Follow BACK ☮️🌊 PEACE World USA தமிழ்,2022-09-26 09:00:00+00:00,0,0,Microsoft Power Platform,"Protests erupt in Russia's Dagestan region over Putin's mobilization orders https://t.co/KekvVgGXYS
#Biden #CNN… https://t.co/IrDvzIHBuq"
17,Research on Improving Systems of Education (RISE),2022-09-26 09:00:00+00:00,0,0,Twitter Web App,"*NEW WP* COVID-19 Learning Loss and Recovery: Panel Data Evidence from India

✍️ Abhijeet Singh, Mauricio Romero, K… https://t.co/HgTCjhiu6o"
18,Metro België,2022-09-26 09:00:00+00:00,0,0,Buffer,"""Als ik ’s morgens de deur van mijn bureau open, weet ik nooit op voorhand hoe mijn werkdag eruit zal zien maar dat… https://t.co/DLyAdaUsqt"
19,Mid Day,2022-09-26 09:00:00+00:00,0,0,TweetDeck,"#MiddayNews |

Ankita Bhandari murder: Uttarakhand CM instructs officials to ensure law and order

#AnkitaBhandari… https://t.co/PBnaMSfouG"
20,tay,2022-09-26 09:00:00+00:00,0,0,Twitter for Android,Or India for that matter https://t.co/qtMPdZjDOH
21,Frontline,2022-09-26 09:00:00+00:00,0,0,TweetDeck,#UkraineRussiaWar | The Russians had underestimated both the will of Ukrainian nationalists to resist &amp; the willing… https://t.co/ZoPfTm6pW2
